longitude,latitude,number_of_vehicles,number_of_casualties,day_of_week,road_type,speed_limit,junction_detail,junction_control,light_conditions,weather_conditions,road_surface_conditions,urban_or_rural_area,month,time_period,casualties_per_vehicle,has_second_road,second_road_unknown,first_road_class_ordinal,second_road_class_ordinal
-0.36469,51.64461,2,1,6,6,30,13.0,4.0,1.0,1,1.0,1,6,Afternoon,0.5,1,0,4,1
-0.24495,52.59603,2,1,7,6,30,13.0,4.0,4.0,2,2.0,1,2,Evening,0.5,1,0,1,1
-0.05867,51.42283,3,2,4,6,30,13.0,4.0,1.0,1,1.0,1,2,Morning,0.6666666666666666,1,0,2,1
-0.46029,51.65904,2,2,4,6,60,0.0,,6.0,1,2.0,2,1,Evening,1.0,0,1,1,0
-0.78005,53.09418,2,1,4,1,60,,4.0,1.0,2,2.0,2,9,Afternoon,0.5,1,0,4,1
-3.32773,50.90611,2,1,3,6,30,19.0,4.0,1.0,1,1.0,2,9,Afternoon,0.5,1,0,3,1
-1.50903,53.40786,1,1,6,6,30,0.0,,4.0,8,2.0,1,12,Evening,1.0,1,0,1,1
-2.92398,53.28637,2,1,3,1,30,0.0,4.0,1.0,1,1.0,1,3,Morning,0.5,1,0,3,3
-0.16845,51.40089,1,1,4,6,30,13.0,4.0,1.0,9,9.0,1,2,Morning,1.0,1,0,4,4
-1.8852,52.61045,2,1,1,6,30,13.0,4.0,1.0,2,2.0,2,5,Morning,0.5,1,0,4,1
0.09418,52.1833,1,1,1,6,20,0.0,,4.0,1,1.0,2,12,Evening,1.0,0,1,1,0
-1.38024,52.50456,3,1,5,3,70,0.0,,1.0,1,1.0,2,8,Afternoon,0.3333333333333333,0,1,6,0
-1.15942,52.96183,2,1,2,6,30,0.0,,1.0,1,1.0,1,12,Morning,0.5,1,0,1,1
-0.0635,51.7936,2,1,4,3,40,19.0,4.0,1.0,1,1.0,1,8,Morning,0.5,1,0,4,1
-0.01766,51.44824,2,1,4,6,20,13.0,4.0,1.0,1,1.0,1,1,Afternoon,0.5,1,0,4,1
